Category,Sub,Question,Intent,Answer
1,0,Which side of the road should one walk,WalkOnRight,Always walk on the right hand side of the road
2,0,What does the green signal mean to the pedestrian on the zebra crossing,GreenForPedestrian,It means they can cross the road
3,0,What does the red signal mean to the pedestrian on the zebra crossing,RedForPedestrian,It means to stop and wait for green signal
4,0,What should one wear while cycling in the dark,WearCyclingInDark,One should wear neon clothes and helmet while cycling in the dark
5,0,What are the checkpoints things to be kept in mind while driving a two wheeler,Driving2Wheeler,One should wear a helmet and keep a check on speed
6,0,What are the things to keep in mind while driving a four wheeler,Driving4Wheeler,"One should wear a seat belt, drive in the correct lane and keep a check on speed"
7,0,what does overloading a vehicle result in,Overloading,the vehicle could skid in an accident
8,0,What is your duty on seeing an accident on road,AccidentDuty,to stop and give instant help
8,1,what are the steps to handle an accident victim on a road,HandelVictim,give a cursory look in 10 seconds from head to toe to assess the severity of trauma
8,2,Is there any sequence you would like to follow,SequenceHandleVictim,at this time I will need persons from the crowd so I would ask them not to overcrowd but those who are willing should stay and help me call an ambulance on 108
8,3,What would be the next move ?,HandleVictim2,"To get him in straight lying down position with the help of others and tap the shoulders asking, Are you OK and if there is no response we will shift to the pavement with the help of 3 persons"
8,4,What would the three persons do ?,3PersonHandleVictim,"One would stand at the head end to support the head and shoulders , the second to support the chest and back and the third to support legs."
9,0,Why is precaution necessary ?,Precaution,Because there was no resposne to call so we have to rule out the serious injuries
9,1,So what next ? I am anxious to know,Ambulance,While waiting for ambulance I would like one person to search for her or his mobile and call for the relatives
9,2,But invariably every phone is locked so what to do ?,ICEFacility,"Every mobile these days has the facility of putting emergency numbers which are called ICE and if they are not visible , call on the last dialed number contacted by the injured"
10,0,Can you tell me how to install ICE on mobile,InstallICE,"Yes, we advise that ICE or 3 contacts of your relatives should be visible on lockscreen which should be learnt and uploaded by going to settings as each phone has its own module"
11,0,How can we deal with a unconscious victim,DealWithVictim,"By giving Log Roll position in which we lay the person at 90% lateral on either side with upper leg folded at 90% so as to remain steady in this position. With chest and abdomen visible, the secretions flow out easily by gravity. The tongue also comes down leaving an unobstructed airway during transportation"
12,0,Supposing the unconscious victim has associated spinal injury. Does the line of handling change ,SpinalInjuryVictim,"Yes thats a very relevant question because if there no spine , we have to handle as if the spine is injured or else paralysis of limbs can occur"
12,1,This is something every individual must know so please explain preventive measures of a Spinal Cord injury ,MeasuresOfSpinalInjury,Spinal cord is a bundle of nerves safely covered by the bones called Vertebrae. Due to injury the tiny fractured pieces of bones keep on damaging the spinal cord which is the nerve supply for the body starting from necck downwards 
12,2,"So, how do we transfer such a patient ",TransferVictim,"As told earlier at least 3 persons will help in shifting . One person supports the head with both hands also lending support to shoulders, the 2nd supporting the chest and abdomen and the third supporting the limbs . Shift on a strecher and in an ambulance taking precaution to keep the head and neck stable till you hand over to a medical expert."
12,3,Is there a simple test to find if the spinal injury has affected the injured adversely,CheckSpinalInjury,"yes , you can ask her/him to move the hand and toe fingers and if normal, all is fine "
13,0,What should be done if the person is severly bleeding,SevereBleeding,Apply direct pressure over the bleeding and apply a bandage 
14,0,While performing CPR how high should the legs be lifted,LegsLiftCPR,Legs should be lifted by 12 to 18 inches so that the extra oxygen from the legs also goes to the brain by gravity thus increasing survival time from 3 to 5 minutes 
15,0,Drinking cannot be mixed with ?,DrinkingWhileDriving,Drinking cannot be mixed with driving 
16,0,How should one drive near a hospital ,DriveNearHospital,One should drive solwly and silentyl near a hospital
17,0,how should we react on hearing the horn of an ambulance,DriveNearAmbulance,one should make way for the ambulance to pass
18,0,what care should one take at an unmanned railway crossing?,DriveNearRailway,"one should stop, look left and right and then cross an unmanned crossing"
19,0,What can reckless driving cause ?,RecklessDriving,Reckless driving can cause an accident
20,0,Tell me two roads saftey norms,RoadSafetyNorms,Do not overspeed and maintain safe distance between vehicles 
21,0,Should we use phone while driving,PhoneWhileDriving,No we should not use the phone while driving 
22,0,What is the punishment for breaking road rules ?,Punishment,You have to pa heavy penalty and event put in jail if you break rules 
23,0,What does yellow traffic signal mean to you,YellowForCar,yellow traffic light means to wait - as red light is approaching soon 
24,0,Why should one walk on right side of the road ,WhyWalkOnRight,We should walk on the right side of the road so that the approaching vehicles are in pain sight
25,0,whom does over speeding bother,OverSpeedingProblem,It bothers yourself and others on the road too
26,0,What if you are caught without helmet while driving ,CaughtWithoutHelmet,you have to pay a fine if you are caught without a helmet
27,0,Should one continue to drive when tired ,DriveWhileTired,"No, one should not continue to drive while at fatigue"
28,0,Which is more important - safety or work,SafteyWhileDriving,Reaching saftey is most important
29,0,where should one focus while driving,FocusWhileDriving,One should focus on the road while driving
30,0,what should one look for while crossing a road,PedestrianCrossingCheck,one should look for zebra crossings and traffic lights
31,0,what does in case of emergency ICE mean to road users?,WhatICE,It helps getting instant contact with relatives and friends in case of emergency
32,0,What does ICE stand for ,ICEFullForm,ICE stands for in case of emergency
33,0,Where should one keep an emergency contact card display ICE numbers?,WhereICEContact,They should be displayed on the lockscreen of mobile phone
34,0,What are things to remember while helping victims,RemeberWhileHelpingVictims,We should call for instant first aid transfer the seriously injured first
35,0,what is the phone number of police ,PoliceContact,police can be called on 100
36,0,what number would you dial to call a fire brigade,FireBrigadeContact,we have to dial number 102
37,0,What does cpr stand for ?,CPRFullForm,cpr stand for Cardio Pulmonary Resusciatio
38,0,What are the steps you would take to re-start the heart and lungs if they stop working ?,COLS,We should adopt Compression Only Life Support
39,0,Can you explain COLS?,ExplainCOLS,COLS means that bystanders now only have to give 120 cardiac compressions in the center of chest over the sternum bone atleast 2 inches deep in adults
40,0,Is there a difference in doing CPR if a paramedic or person trained in CPR is availabe at the site,TrainedCPR,"Yes, they can perform Cardiac Compression and Mouth to Mouth ventilations both and is Basic Cardiac Life Support (BCLS)"
41,0,What is the difference when doing CPR in small babies,BabiesCPR,They have to be given Cardiac Compression of 140 time per minute
42,0,What to do in case of open chest injury?,OpenChestInjury,cover the wound with clean cloth and apply tight bandage
43,0,What to do incase of abdomen injury,AbdomenInjury,Do not give any food and cover the wound and shift to hospital 
44,0,What to do in case of fracture,FractureInjury,Fix the splint such that it reaches the joint above the fracture part to ensure immobilisation
45,0,how to handle a person with electric shock ?,ElectricShockInjury,Protect yourself by separating the person from source of shock by using insulating material which can be a folded paper also. Sart COLS as per situatuion
46,0,How to deal a case of burn,BurnInjury,"If the burn is on hands or feet, pour water till burning sensation subsides. If fire is extensive, cover with a blanket or roll in mud to stop the fire. If electric shock at home, switch off the main switch."
